ticket_id,rsltn_type,rsltn_status,rsltn_date,rsltn_byuser,rsltn_servicedate,rsltn_servicennumber,rsltn_eta,rsltn_etd,rsltn_inspection,rsltn_actiontaken,rsltn_actionmethod,current_nex,rsltn_planning,rsltn_remark
1004-109(L),,,2010-04-30 16:48:01,NIK,,,2010-04-29 12:00:00,2010-04-29 13:00:00,,"Received CM report from Nizam. 
Action taken:
1. Swap with spare monitor.
2. Take back faulty monitor.
PC running as usual.",,Next Action Plan :,,
1004-100(L),,,2010-04-30 16:43:40,NIK,,,2010-04-28 11:00:00,2010-04-28 16:30:00,,"Received CM report from Faizal. Spooler got problem with network and closed while printing.
Action taken:
1. Change workstation loan unit.
2. Change network cable.
3. Swap network port.
taken back : Lenovo thinkcentre L3A8736.
Loan Unit : Lenovo Thinkcentre L3A8813.
Printing success without network problem. ",,Will repair and sent during next PM,Will repair and sent during next PM,
1004-98(L),,,2010-04-30 16:38:26,NIK,,,2010-04-28 11:00:00,2010-04-28 16:30:00,,"Received CM report from Faizal. Spooler T1 got double printing and PC got OS problem.
Action taken:
1. Hardisk image ghost.
2. Setup back ICAO settings.
Monitoring production No double printing occur anymore.",,Will follow up with GET Egypt,Will follow up with GET Egypt,
1004-102(L),,,2010-04-30 16:35:10,NIK,,,2010-04-27 15:30:00,2010-04-27 18:00:00,,"Received CM report from Ashok. 
Action taken:
1. Change heater lmap.
2. Test print.
3. Monitor production.
Also change platen roller and heater cleaning roller since last PM engineer not change it.
There is no error on printer after change parts. Production continue as usual",,Next Action Plan :,,
1004-97(L),,,2010-04-30 16:32:24,NIK,,,2010-04-27 11:30:00,2010-04-27 16:30:00,,"Received CM report from Rosdi.
Action taken:
1. Changed SCSI card slot.
2. Restarted PC, ok.",,Software engineer will come back to check the PC and troubleshoot the problem,Software engineer will come back to check the PC and troubleshoot the problem,
1003-107(L),,,2010-04-30 16:28:59,NIK,,,2010-04-29 09:30:00,2010-04-29 12:00:00,,"Received CM report Faizal. 
Action taken:
1. Repair windows.
2. Ghost with backup image.
Success QA",,Will replace back the iriginal RTE8000.,Will replace back the iriginal RTE8000.,
1004-85(L),,,2010-04-30 16:24:13,NIK,,,2010-04-24 09:00:00,2010-04-24 14:00:00,,"Received CM report from Azhar.
Action taken:
1. PI unit inspected.
2. Replaced S12 sensor. Before : 1.75V. After : 0.13V.
3. Added grease at DC5, DC6 and DC7.
4. Readjusted belt 2 (650 -> 460)
5. Clean all dusty part in PI unit.
6. Test feed using feed test.
7. Monitor production.
Production as usual.",,Next Action Plan :,,
1004-40(L),,,2010-04-30 16:21:03,NIK,,,2010-12-04 14:45:00,2010-12-04 17:00:00,,"Received CM report from Azhar. Sensor for book detector found broken.
Action taken:
1. The broken sensor cannot be installed again after PF opened.
2. Readjust other feeder (S/N: 04030083) to 48 pages.
3. Feed test.
4. Monitor production.
Feed test success. Production continue as usual.",,Next Action Plan :,,
1004-111(L),,,2010-04-30 16:32:38,NIK,,,,,,Received call from Kak yati. She informed that book sensor fall and they try to put it back but failed. She ask to snet engineer on site on monday since another printer also facing problem. Refer to log 1004-110(L). Ask to guide user to swap feeder but user refuse because they afraid to do that.,,Next Action Plan :,,
1004-110(L),,,2010-04-30 16:32:11,NIK,,,,,,"Received call from kak Yati informed this problem. Zul already call me regarding this problem this morning. But this problem is intermittent. maybe because of the broken screw at PI unit cause this problem. Zul suggest to sent engineer later to replace the screw. But since there is a problem with feeder toppan 2, user ask to sent engineer next monday since this weekend holiday.",,Next Action Plan :,,
1004-109(L),,,2010-04-30 15:58:22,NIK,,,,,,Call user. Spoke with Idham. He informed that monitor work properly today. no rpoblem. Log allow to close.,,Next Action Plan :,,
1004-106(L),,,2010-04-30 15:58:30,NIK,,,,,,Call user. Spoke with Idham. He informed that monitor work properly today. no rpoblem. Log allow to close.,,Next Action Plan :,,
1004-106(L),,,2010-04-30 16:49:28,NIK,,,,,,Call user many times since morning. Spoke with Pn Anis. No problem occiur anymore today. Log allow to close..,,Next Action Plan :,,
1004-103(L),,,2010-04-30 09:21:22,NIK,,,,,,Call user spoke with Hidayat. He informed that for now no problem occur anymore. Log allow to close.,,Next Action Plan :,,
1004-103(L),,,2010-04-29 15:32:50,NIK,,,,,,Received call from Isyraf. Doing PM with Ashok at site. Already install printer. Work in order but sometime OFFLINE. Need to replace SCSI cable. Prepair SCSI cable to Isyraf. He will replace at site tomorrow.,,Next Action Plan :,,
1004-90(L),,,2010-04-29 14:30:11,NIK,,,,,,Received call from kak Maziah. Today one passport printed wrong. 0 printed as 6. Guide user to take the img.bmp and save in my document so that Faizal can take the image to trained it.,,Next Action Plan :,,
1004-109(L),,,2010-04-29 14:24:57,NIK,,,,,,Informed to Maria. She will prepair loan unit. and will pass to Nizam since Nizam's house near to BPKL. Nizam will sent unit to site before come to office tomorrow.,,Next Action Plan :,,
1004-109(L),,,2010-04-29 14:20:36,NIK,,,,,,Nizam back from BPKL from doing CM for log 1004-104(L). Found monitor no display. He did call Maria. Maria as to bring back the monitor. Borrow monitor from user standby unit. Will replace monitor tomorrow.,,Next Action Plan :,,
1004-106(L),,,2010-04-29 14:00:00,NIK,,,,,,Assign Azlan to be on site today.,,Next Action Plan :,,
1004-106(L),,,2010-04-29 13:57:07,NIK,,,,,,Call Pn Anis mobile. She informed that problem still happened. need further action from us.,,Next Action Plan :,,
1004-104(L),,,2010-04-29 14:53:15,NIK,,,,,,Call user. Spoke with en Idham. Confirm PC work in order. Log allow to close.,,Next Action Plan :,,
1004-104(L),,,2010-04-29 14:20:49,NIK,,,,,,Nizam and Naufal just back from site. Replace PC. Now problem resolved.,,Next Action Plan :,,
1004-98(L),,,2010-04-29 14:08:54,NIK,,,,,,Call user. Spoke with En Fahmi. Confirmed no problem occur anymore. Log allow to close.,,Next Action Plan :,,
1004-100(L),,,2010-04-29 14:08:14,NIK,,,,,,Call user. Spoke with En Fahmi. Confirmed no problem occur anymore. Log allow to close.,,Next Action Plan :,,
1004-107(L),,,2010-04-29 13:56:55,NIK,,,,,,Call user.Spoke with en razlan. He reconfirmed with en hisyam. So far no problem occur anymore. Log can be close for this moment.,,Next Action Plan :,,
1004-108(L),,,2010-04-29 12:02:10,NIK,,,,,,"Call Kak Lina's mobile. Afetr change plug, ok. found plug faulty. Log allow to close.",,Next Action Plan :,,
1004-108(L),,,2010-04-29 10:55:24,NIK,,,,,,Informed to Maria. Maybe power supply faulty. Will update with user later.,,Next Action Plan :,,
1004-108(L),,,2010-04-29 10:53:03,NIK,,,,,,Call user again. Spoke with kak Lina. She informed that PC cannot on. Suddenly light at CPU OFF and they try to restart but cannot ON. Monitor light ON. Ask user to plug in the CPU plug first at other plug to check if the plug is faulty.,,Next Action Plan :,,
1004-108(L),,,2010-04-29 10:45:39,NIK,,,,,,Call user nobody pickup.,,Next Action Plan :,,
1004-108(L),,,2010-04-29 10:40:07,NIK,,,,,,Received call Helmi IRIS. He informed that PC QA cannot boot windows. When he check that is our PC IBM Think center.,,Next Action Plan :,,
1004-107(L),,,2010-04-29 11:10:06,NIK,,,,,,Received call from Rosdi. He already call user before naufal call user. Guide user to enter maintenance mode. Will update status later with user.,,Next Action Plan :,,
1004-107(L),,,2010-04-29 11:00:50,NIK,,,,,,Isyraf Cannot failed user. I assign Naufal to guide user. Naufal call en hisham. now printer in warm up. naufal ask user to tets print. After taest print ok.,,Next Action Plan :,,
1004-107(L),,,2010-04-29 10:27:06,NIK,,,,,,Ask Isyraf guide En Hisham to do SP1 platen.,,Next Action Plan :,,
1004-107(L),,,2010-04-29 10:25:17,NIK,,,,,,Call user. Ask to clean. But user already clean platen roller and orange roller. But still not ok. User not do Sp1 platen yet. Will ask engineer to guide user do SP1 platen.,,Next Action Plan :,,
1004-106(L),,,2010-04-29 10:14:19,NIK,,,,,,"Call Kak haniza mobile. Now she try to print 2 passport ok. Before print, other IO try to change to the new film. Will monitor until afternoon. Will update status back to confirmed the status.",,Next Action Plan :,,
1004-106(L),,,2010-04-29 09:43:16,NIK,,,,,,Informed problem to Naufal. Suggest to enter into maintenance mode. Assign Hafiz to guide user to enter into maintennace mode. Will check back later.,,Next Action Plan :,,
1004-106(L),,,2010-04-29 09:25:37,NIK,,,,,,"Call user. Spoke with kak Anis. She informed that he did take out the fil nd install it back but still cannot role. When printer ready, it stop and cannot role. When user check, film crumble inside. User also informed that before this engineer add washer at CCD but now problem book jammed at CCD happened again. Sometime no book jammed in CCD but error will appear too.",,Next Action Plan :,,
1004-100(L),,,2010-04-29 10:00:31,NIK,,,,,,Call user. Spoke with Husna. She ask to call back after 1 hour. She have to ask her officer first.,,Next Action Plan :,,
1004-98(L),,,2010-04-29 10:00:29,NIK,,,,,,Call user. Spoke with Husna. She ask to call back after 1 hour. She have to ask her officer first.,,Next Action Plan :,,
1004-103(L),,,2010-04-29 09:57:48,NIK,,,,,,Ashok prepair E2000 loan unit with S/N:03H4402 to be sent to site today.,,Next Action Plan :,,
1004-104(L),,,2010-04-29 09:32:55,NIK,,,,,,Nizam bring back the PC. Maria will try to repair and nizam will send it back to site since his CM with Zul at WP14 is cancel because Zul on leave today (His daughter not feeling well).,,Next Action Plan :,,
1004-105(L),,,2010-04-29 09:33:34,NIK,,,,,,Call ADUKOM. Informed the situation to Najib. Log esc to IRIS.,,Next Action Plan :,,
1004-105(L),,,2010-04-29 09:03:01,NIK,,,,,,"Received call from Arham. He on site now but found that PC that user use at PC jarfalla is the small PC from QA PC (Change during ICAO installation since PC QA so slow). As Arham refer to Maria, this PC under IRIS so need iRIS to repair the PC. For now Arham install jarfalla at PC that attach with RTE8000(our original PC jarfalla).",,Next Action Plan :,,
1004-105(L),,,2010-04-28 16:01:43,NIK,,,,,,Call user. Spoke with Dian. They not install Jarfalla at pc imbasan yet since no production that need to use jarfalla. Informed user that arham will be on site tomorrow. User said they will wait for Arham tomorrow.,,Next Action Plan :,,
1004-105(L),,,2010-04-28 15:36:44,NIK,,,,,,Call Arham. Informed him this problem.Ask him to be on site tomorrow. He will.,,Next Action Plan :,,
1004-105(L),,,2010-04-28 15:30:40,NIK,,,,,,Call user. Spoke with BTMR Sulastri. Ask her to install jarfalla at PC imbasan. She will try first.,,Next Action Plan :,,
1004-100(L),,,2010-04-28 17:16:06,NIK,,,,,,Call user to update status but user back already. Will call back tomorrow.,,Next Action Plan :,,
1004-98(L),,,2010-04-28 17:16:23,NIK,,,,,,Call user to update status but user back already. Will call back tomorrow.,,Next Action Plan :,,
1004-98(L),,,2010-04-28 17:11:00,NIK,,,,,,Call Faizal. He informed that he did ghost PC. For now no problem occur anymore. ,,Next Action Plan :,,
1004-100(L),,,2010-04-28 17:11:21,NIK,,,,,,Call Faizal. He did chnage PC and bring back the pC to office for an investigation. He did swap the network cable. For now no problem occur anymore. ,,Next Action Plan :,,
1004-103(L),,,2010-04-28 16:37:14,NIK,,,,,,"Call Ashok. Problem happened intermittent. He check with Zul already. Since he will doing PM at site tomorrow, will bring loan E2000 to the site.",,Next Action Plan :,,
1004-99(L),,,2010-04-28 16:35:09,NIK,,,,,,Call user spoke with Pn Zarifah. Problem not occur anymore. Log able to close.,,Next Action Plan :,,
1004-94(L),,,2010-04-28 16:24:00,NIK,,,,,,Call kak ita's mobile. Confirmed status of printer ok now. Log allow to close.,,Next Action Plan :,,
1004-90(L),,,2010-04-28 15:41:04,NIK,,,,,,Received call from Pn maziah. Today 3 passport printed with diff Passport number.,,Next Action Plan :,,
1004-103(L),,,2010-04-28 12:54:25,NIK,,,,,,Ashok just arrive on site.,,Next Action Plan :,,
1004-104(L),,,2010-04-28 12:40:31,NIK,,,,,,Call Nizam. PC ready but nobody can send to him. So he pass phone to Pn Rosnah. Ask permisson from her to send PC tomorrow morning since they still have another PC imbasan. She agree. Will assign other engineer to sent PC to site since tomorrow Nizam have PM.,,Next Action Plan :,,
1004-104(L),,,2010-04-28 12:34:41,NIK,,,,,,Call Maria. She ask to take PC loan unit in workshop model 8188-QAQ.,,Next Action Plan :,,
1004-104(L),,,2010-04-28 12:32:12,NIK,,,,,,Received call from Nizam. He on site and found motherboard faulty. As he call Maria and maria suggest to send loan PC first. Will double check available PC with maria.,,Next Action Plan :,,
1004-104(L),,,2010-04-28 10:48:56,NIK,,,,,,Call Zul at WPIN. Doing PM with Nizam but Nizam not arrived yet. Informed this problem. He will informed Nizam when he arrived there.,,Next Action Plan :,,
1004-104(L),,,2010-04-28 10:30:52,NIK,,,,,,"Informed problem to En Irfan since Faizal CM at JBPH, Maria CM at TPIN and Suen not around. Suggest to sent Nizam to the site since He quite good in PC maintenance.",,Next Action Plan :,,
1004-104(L),,,2010-04-28 10:18:27,NIK,,,,,,"Received call from Pn Rosnah informed the problem. He pass phone to Zaki. zaki informed that PC just load until IBM after that blank. After restart many times, still the same problem occur. Will check first.",,Next Action Plan :,,
1004-103(L),,,2010-04-28 10:27:53,NIK,,,,,,Call user. Spoke with Pn Raja. Informed to her that engineer will be on site today.,,Next Action Plan :,,
1004-103(L),,,2010-04-28 10:25:51,NIK,,,,,,Call Ashok again. He still at house. Yesterday he back from CM at kuantan a bit late. Inform the problem to him and he will be on site today.,,Next Action Plan :,,
1004-103(L),,,2010-04-28 09:00:52,NIK,,,,,,Call Ashok many times since he informed yesterday that he will doing PM at site today.,,Next Action Plan :,,
1004-103(L),,,2010-04-28 08:35:08,NIK,,,,,,"Received call from user, Hafiz. He informed that Skew getting worst and he ask to send engineer to fix it.",,Next Action Plan :,,
1004-99(L),,,2010-04-28 12:04:56,NIK,,,,,,Received call from Maria. Provide ticket no. Problem already resolved.,,Next Action Plan :,,
1004-100(L),,,2010-04-28 09:36:04,NIK,,,,,,Call Faizal. He on the way to site.,,Next Action Plan :,,
1004-98(L),,,2010-04-28 09:36:47,NIK,,,,,,Call Faizal. He on the way to site.,,Next Action Plan :,,
1004-94(L),,,2010-04-28 11:54:29,NIK,,,,,,Received call from Isyraf. Arrived on site around 08:15hrs. He change platen roller n adjust belt tension. Now problem resolved.,,Next Action Plan :,,
1004-101(L),,,2010-04-28 09:27:52,NIK,,,,,,Call user. Spoke with Rizal. Printer status ok now. Log allow to close.,,Next Action Plan :,,
1004-101(L),,,2010-04-28 09:25:36,NIK,,,,,,"Received call from Hafiz. This morning, he on site because yesterday not change parameter n voltage after replace new thermal head because alkready late and user want to go back already. So now settle. He on his way back to office.",,Next Action Plan :,,
1004-101(L),,,2010-04-27 17:37:46,NIK,,,,,,Received call from Hafiz. He already informed zul. permenant line. So change thermal head but voltage not set yet. Test production ok. But only 2 test. Will monitor first and update status with user tomorrow.,,Next Action Plan :,,
1004-102(L),,,2010-04-27 17:37:59,NIK,,,,,,Received call from Ashok. Already change thermal head and already run production. No error appear anymore. Log allow to close since no error occur.,,Next Action Plan :,,
1004-100(L),,,2010-04-27 14:02:16,NIK,,,,,,faizal will be on site tomorrow and bring together PC standby to be replace at site.,,Next Action Plan :,,
1004-100(L),,,2010-04-27 12:49:41,NIK,,,,,,Received call from Rosdi. Found that spooler keep disappear. he already refer to Faizal this problem. Will update sith Faizal.,,Next Action Plan :,,
1004-101(L),,,2010-04-27 16:53:29,NIK,,,,,,Call Hafiz. Already clean once but still not ok. He try to clean another time. He will test print first. Will update status later.,,Next Action Plan :,,
1004-102(L),,,2010-04-27 17:04:26,NIK,,,,,,Call Ashok. But out of coverage.,,Next Action Plan :,,
1004-102(L),,,2010-04-27 09:48:53,NIK,,,,,,Assign Ashok to be on site today. He will. Take heater lamp from Azimah. Bring together platen roller since last PM not change platen roller because screw is shorter then platen thread.,,Next Action Plan :,,
1004-102(L),,,2010-04-27 09:02:26,NIK,,,,,,"Received call from user. She informed that error appear. After restart still cannot print. User now in maintenace mode, but failed to print too. Will check with engineer first.",,Next Action Plan :,,
1004-97(L),,,2010-04-27 16:48:50,NIK,,,,,,Call user. Confirmed problem resolved for this printer. Log allow to close fro this problem.,,Next Action Plan :,,
1004-94(L),,,2010-04-27 15:12:22,NIK,,,,,,Call kak Arnida. Isyraf alreday call user. Promise with user he will b eon site tomorrow since his flight will arrived ta airport around 4:15pm. User agree.,,Next Action Plan :,,
1004-90(L),,,2010-04-27 16:30:25,NIK,,,,,,Informed problem to Faizal. He will check again.,,Next Action Plan :,,
1004-90(L),,,2010-04-27 16:26:00,NIK,,,,,,Received call from Pn Maziah. Problem occur again this afternoon after Faizal remote. 022450 printed as 0224856.,,Next Action Plan :,,
1004-90(L),,,2010-04-27 11:27:51,NIK,,,,,,Received email from Faizal. Already update  e2000.trn  file size 160kb  date modified  27/04/10. Problem resolved.,,Next Action Plan :,,
1004-90(L),,,2010-04-26 16:23:26,NIK,,,,,,Faizal informed that he will remote site tomorrow.,,Next Action Plan :,,
1004-88(L),,,2010-04-26 16:22:30,NIK,,,,,,En Razi. informed that UPS need to repair and he already arrange to repair.,,Next Action Plan :,,
1004-101(L),,,2010-04-27 16:50:12,NIK,,,,,,Assign Hafiz to be on site. Bring standby thermal head.,,Next Action Plan :,,
1004-101(L),,,2010-04-27 14:48:12,NIK,,,,,,Call user. Spoke with Rizal. problem happened since last week. small line at the same position. Clean does not help.,,Next Action Plan :,,
1004-99(L),,,2010-04-27 14:31:10,NIK,,,,,,Call userr. Spoke with En yasin. Ask to snet engineer tomorrow. User agree. But he informed that office open at 7:30 so he need engineer to on site sharp 7:30am. Noted.,,Next Action Plan :,,
1004-99(L),,,2010-04-27 14:30:26,NIK,,,,,,Check flight ticket. Maria will go to terengganu with tonite flight and will overnite there. ,,Next Action Plan :,,
1004-99(L),,,2010-04-27 14:15:28,NIK,,,,,,Guide user to check configuration. Can imbas but not enter to CDCamera.ini.,,Next Action Plan :,,
1004-99(L),,,2010-04-27 14:05:36,NIK,,,,,,Call User.Already change but failed to enter ID for JIM system. Ask user to restart PC first.,,Next Action Plan :,,
1004-99(L),,,2010-04-27 14:00:42,NIK,,,,,,Call user. Ask to change camera to PC jarfalla. Pn zarifah will do firts. She ask to call back after 5 min.,,Next Action Plan :,,
1004-99(L),,,2010-04-27 13:45:39,NIK,,,,,,Ask kak maria. suggest to change to PC jarfalla. But need to setup sysbranchcfgspc -support.,,Next Action Plan :,,
1004-99(L),,,2010-04-27 13:43:52,NIK,,,,,,Received call from Pn Zalifah. She ask whether can change camera to other PC. Will check with Engineer first.,,Next Action Plan :,,
1004-99(L),,,2010-04-27 13:33:08,NIK,,,,,,Call user. Still not ok after change position of CPU.,,Next Action Plan :,,
1004-99(L),,,2010-04-27 13:11:52,NIK,,,,,,"Call user again.As suggest by Suzie, ask user to change the position of the CPU. User will try first.",,Next Action Plan :,,
1004-99(L),,,2010-04-27 13:03:40,NIK,,,,,,Call user. Spoke with kak Ayu. She informed that PC keep repeating enter safe mode configuration.,,Next Action Plan :,,
1004-98(L),,,2010-04-27 11:38:18,NIK,,,,,,"call faizal. Informed the double printing problem. For the problem where user unable to do senarai serahan, he ask to ask user to log to ADUKOM to esc to HTP. He will go on site tomorrow to check the data.",,Next Action Plan :,,
1004-98(L),,,2010-04-27 11:05:16,NIK,,,,,,"Call user. Spoke with Fahmi. He explain that at first they print but cip faulty. So they imbas again. After imbas, double printing. Only one name at spooler. 22346058 : Rekod permohonan Tidak Wujud. 22305000 : Ok but they failed to do senarai serahan. ",,Next Action Plan :,,
1004-98(L),,,2010-04-27 10:37:15,NIK,,,,,,Received call from Azhar. User call him. have double prnting. He ask to follow up with user since user need guidance because they unable to do serahan for that passport.,,Next Action Plan :,,
1004-97(L),,,2010-04-27 12:49:45,NIK,,,,,,Problem resolved after Rosdi change SCSI card to another slot. ,,Next Action Plan :,,
1004-97(L),,,2010-04-27 09:48:24,NIK,,,,,,Call Din. Need to do PM with Azhar. Spoke with Rosdi. He will be on site today to check the problem.,,Next Action Plan :,,
1004-97(L),,,2010-04-27 09:44:47,NIK,,,,,,"Zul call user. Spoke with Fahmi. He siad at first have problem with T1. so they decide to use T2. Before this, they did not use T2. When try to use T2, OFFLINE. User already check SCSI cable but still not ok.",,Next Action Plan :,,
1004-97(L),,,2010-04-27 09:42:14,NIK,,,,,,Received log from Zana ADUKOM.,,Next Action Plan :,,
1004-96(L),,,2010-04-27 09:44:11,NIK,,,,,,Zul call user. spoke with Fahmi. He said T1 problem at fisrt. But now ok. No problem occur anymore. Log close for this printer.,,Next Action Plan :,,
1004-96(L),,,2010-04-27 09:42:22,NIK,,,,,,Received log from Zana ADUKOM while having breakfast.,,Next Action Plan :,,
1004-95(L),,,2010-04-27 11:37:44,NIK,,,,,,Call user. Spoke with kak Mashitah. Confirmed no problem anymore. Line also not appear. Log able to close.,,Next Action Plan :,,
1004-95(L),,,2010-04-27 09:00:12,NIK,,,,,,"Arrived office. Ask Zul to guide user to enter into maintenance mode. Zul Call user and user informed, no error occur anymore. But now line occur. Zul ask user to clean more harder at thermal head.",,Next Action Plan :,,
1004-95(L),,,2010-04-27 08:25:40,NIK,,,,,,Received call from Mashitah. She informed that error occur. Restart not help. Will ask engineer to guide user into maintenance mode.,,Next Action Plan :,,
1004-94(L),,,2010-04-27 10:06:10,NIK,,,,,,Assign Isyraf to be on site today.,,Next Action Plan :,,
1004-94(L),,,2010-04-27 10:05:13,NIK,,,,,,Discuss with engineer. En Fauzi ask to assign engineer and will be on site by fireflyz. Dina will check the flight.,,Next Action Plan :,,
1004-94(L),,,2010-04-26 16:15:13,NIK,,,,,,Call Kak Ita mobile. She informed that they alreday clean many times but still not ok. So they decide to use T2 only. I will check first and will update to user later.,,Next Action Plan :,,
1004-94(L),,,2010-04-26 16:06:13,NIK,,,,,,Hafiz call user to update no of aircond and CCTV in process room. But user report this problem.,,Next Action Plan :,,
1004-93(L),,,2010-04-26 15:13:45,NIK,,,,,,Call user. Spoke with Mdm Chan. Problem resolved. Log allow to close.,,Next Action Plan :,,
1004-93(L),,,2010-04-26 15:00:12,NIK,,,,,,Received log from Rosmaizah ADUKOM provide a details.,,Next Action Plan :,,
1004-93(L),,,2010-04-26 14:56:39,NIK,,,,,,"Call user. Spoke with Asma. He said that the light laser is on but when she press the trigger to scan the barcode, it failed to scan it. Ask Asma to unplug the cable and plug it back and restart PC. Will call back later.",,Next Action Plan :,,
1004-93(L),,,2010-04-26 14:55:37,NIK,,,,,,Call ADUKOM back but not pickup.,,Next Action Plan :,,
1004-93(L),,,2010-04-26 14:49:50,NIK,,,,,,Received call from Rosmiazah ADUKOM but suddenly call disconnected.,,Next Action Plan :,,
1004-92(L),,,2010-04-26 14:01:15,NIK,,,,,,"Call user. Spoke with Saiful. He said that he already call Azhar and azhar guide him to use sand paper at passport cover too. After he follow azhar's guidance, problem resolved. Log able to close.",,Next Action Plan :,,
1004-92(L),,,2010-04-26 13:26:55,NIK,,,,,,Call Pn Sheryn since call direct line failed. Pn Sheryn outsite now for lunch. She ask to call afetr 2pm.,,Next Action Plan :,,
1004-83(L),,,2010-04-26 11:02:17,NIK,,,,,,Anuar already on site. Change SCSI card but the PCI card for USB sometime make PC hang. So he not use it. He try to plug in mouse and keyboard at USB port and it function. For this moment no problem occur. Anuar pass phone to Liza. Spoke with Liza. No problem occur anymore. She allow to close log.,,Next Action Plan :,,
